fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_paper.p_7_2_scb_replaceable	pss_paper	470288	470288	1	isabelle/pss_paper.thy	933	false	true	true
pss_paper.p_7_2_scb_compose	pss_paper	470296	470298	2	isabelle/pss_paper.thy	949	false	true	true
pss_paper.p_7_2_scb_triviality	pss_paper	470306	470308	2	isabelle/pss_paper.thy	965	false	true	true
pss_paper.p_7_2_scb_unique	pss_paper	470316	470324	5	isabelle/pss_paper.thy	989	false	true	true
pss_paper.p_7_2_add_scb	pss_paper	470332	470336	3	isabelle/pss_paper.thy	1012	false	true	true
pss_paper.p_7_2_scb_fseq	pss_paper	470344	470348	3	isabelle/pss_paper.thy	1038	false	true	true
pss_paper.p_7_2_RightNodes_subexpr	pss_paper	470356	470356	1	isabelle/pss_paper.thy	1071	false	true	true
pss_paper.p_7_3_twoColumn	pss_paper	476000	476008	5	isabelle/pss_paper.thy	1263	false	true	true
pss_paper.p_7_3_Trans_IncrFirst_Red	pss_paper	476014	476018	2	isabelle/pss_paper.thy	1273	false	true	true
pss_paper.p_7_3_Mark_IncrFirst_Red	pss_paper	476026	476028	2	isabelle/pss_paper.thy	1280	false	true	true
pss_paper.p_7_3_Trans_zeroT	pss_paper	476036	476036	1	isabelle/pss_paper.thy	1287	false	true	true
pss_paper.p_7_3_c1_c2	pss_paper	476044	476048	3	isabelle/pss_paper.thy	1298	false	true	true
pss_paper.p_7_3_Pred_Trans_descend	pss_paper	476056	476056	1	isabelle/pss_paper.thy	1306	false	true	true
pss_paper.p_7_3_Mark_rightmost1	pss_paper	476064	476064	1	isabelle/pss_paper.thy	1313	false	true	true
pss_paper.p_7_3_Trans_monoT	pss_paper	476072	476072	1	isabelle/pss_paper.thy	1330	false	true	true
pss_paper.p_7_4_Adm_nextAdm	pss_paper	476080	476080	1	isabelle/pss_paper.thy	1343	false	true	true
pss_paper.p_7_4_Trans_nextAdm	pss_paper	476088	476088	1	isabelle/pss_paper.thy	1356	false	true	true
pss_paper.p_7_4_Mark_nextAdm	pss_paper	476096	476096	1	isabelle/pss_paper.thy	1371	false	true	true
pss_paper.p_7_4_Trans_Mark_Pred	pss_paper	476104	476104	1	isabelle/pss_paper.thy	1387	false	true	true
