article_fact	clean_equivalent_fact
pss_paper.p_7_4_RightAnces_RightNodes	pss_scratch.y3r_7_4_RightAnces_RightNodes_TPS
pss_paper.p_7_4_RightAnces_zeroT	pss_scratch.y3r_7_4_RightAnces_zeroT_TPS
pss_paper.p_8_2_standard_slice_Red_strongmono	pss_wip.m_8_2_standard_slice_Red_strongmono
pss_paper.p_8_2_strongmono_slice	pss_wip.m_8_2_strongmono_slice
pss_paper.p_8_2_subexpr_component_Pred	pss_wip.m_8_2_keystone
pss_paper.p_8_2_subexpr_component_strongmono	pss_wip.m_8_2_subexpr_component_strongmono_uncond
pss_paper.p_8_2_condV_rightmost_parent	pss_wip.m_8_2_condV_rightmost_parent
pss_paper.p_8_2_condV_terminal_slice_Trans	pss_wip.m_8_2_condV_terminal_slice_Trans
pss_paper.p_8_1_diagSeq_Trans	pss_wip.m_8_1_diagSeq_Trans
pss_paper.p_8_1_Pred_diagSeq_Trans	pss_wip.m_8_1_Pred_diagSeq_Trans
pss_paper.p_8_1_Trans_fseq_condI(1)	pss_scratch.y3g_p_8_1_Trans_fseq_condI(1)
pss_paper.p_8_1_Trans_fseq_condI(2)	pss_scratch.y3g_p_8_1_Trans_fseq_condI(2)
pss_paper.p_8_3_kind0_branch_rule	pss_wip.m_8_3_kind0_branch_rule
pss_paper.p_8_3_kind0_base_basepoint(1)	pss_wip.m_8_3_kind0_base_basepoint(1)
pss_paper.p_8_3_kind0_base_basepoint(2)	pss_wip.m_8_3_kind0_base_basepoint(2)
pss_paper.p_8_3_TransCondII_oper_descend	pss_scratch.y5_8_3_TransCondII_oper_descend
pss_paper.p_8_4_rightmost_nonadm_ancestor(1)	pss_wip.m_8_4_rightmost_nonadm_ancestor(1)
pss_paper.p_8_4_rightmost_nonadm_ancestor(2)	pss_wip.m_8_4_rightmost_nonadm_ancestor(2)
pss_paper.p_8_4_rightmost_nonadm_ancestor(3)	pss_wip.m_8_4_rightmost_nonadm_ancestor(3)
pss_paper.p_8_4_rightmost_nonadm_ancestor(4)	pss_wip.m_8_4_rightmost_nonadm_ancestor(4)
pss_paper.p_8_4_oper_basic(1)	pss_wip.m_8_4_oper_basic_part1
pss_paper.p_8_4_oper_basic(1)	pss_scratch.y3h_p_8_4_oper_basic(1)
pss_paper.p_8_4_oper_basic(3)	pss_scratch.y3h_p_8_4_oper_basic(2)
pss_paper.p_8_5_Trans_oper_exchange(1)	pss_scratch.y3h_p_8_5_Trans_oper_exchange(1)
pss_paper.p_8_5_Trans_oper_exchange(2)	pss_scratch.y3h_p_8_5_Trans_oper_exchange(2)
pss_paper.p_8_5_Trans_oper_exchange(3)	pss_scratch.y3h_p_8_5_Trans_oper_exchange(3)
pss_paper.p_8_5_Joints_FirstNodes_basic(1)	pss_wip.m_8_5_Joints_FirstNodes_basic(1)
pss_paper.p_8_5_Joints_FirstNodes_basic(2)	pss_wip.m_8_5_Joints_FirstNodes_basic(2)
pss_paper.p_8_5_Joints_FirstNodes_basic(3)	pss_wip.m_8_5_Joints_FirstNodes_basic(3)
pss_paper.p_8_5_Joints_FirstNodes_basic(4)	pss_wip.m_8_5_Joints_FirstNodes_basic(4)
pss_paper.p_8_6_const2nd_Trans	pss_wip.m_8_6_const2nd_Trans_paper
pss_paper.p_8_6_diagSeq_Trans_oper	pss_wip.m_8_6_diagSeq_Trans_oper_paper
pss_paper.p_8_7_const00_Trans	pss_wip.m_8_7_cnst_Trans
pss_paper.p_8_7_const00_Trans	pss_wip.m_8_7_const00_Trans
pss_paper.p_8_7_fseq_descend	pss_scratch.y5_Trans_descend
pss_paper.p_8_7_OT_scb_recursive	pss_wip.m_8_7_OT_scb_recursive
pss_paper.p_8_7_OT_dom_hereditary	pss_wip.m_8_7_OT_dom_hereditary
pss_paper.p_8_7_OT_examples(1)	pss_mechanized.otb_Dpt_0
pss_paper.p_8_7_OT_examples(1)	pss_mechanized.m_8_7_OT_examples(1)
pss_paper.p_8_7_OT_examples(1)	pss_wip.m_8_7_OT_ex1
pss_paper.p_8_7_OT_examples(1)	pss_wip.m_8_7_OT_examples(1)
pss_paper.p_8_7_OT_examples(2)	pss_mechanized.m_8_7_OT_examples(2)
pss_paper.p_8_7_OT_examples(2)	pss_wip.m_8_7_OT_ex2
pss_paper.p_8_7_OT_examples(2)	pss_wip.m_8_7_OT_examples(2)
pss_paper.p_8_7_OT_examples(3)	pss_mechanized.m_8_7_OT_examples(3)
pss_paper.p_8_7_OT_examples(3)	pss_wip.m_8_7_OT_ex3
pss_paper.p_8_7_OT_examples(3)	pss_wip.m_8_7_OT_examples(3)
pss_paper.p_8_7_OT_examples(4)	pss_mechanized.m_8_7_OT_examples(4)
pss_paper.p_8_7_OT_examples(4)	pss_wip.m_8_7_OT_ex4
pss_paper.p_8_7_OT_examples(4)	pss_wip.m_8_7_OT_examples(4)
pss_paper.p_8_7_Trans_preserves_OT	pss_scratch.y5_Trans_OT_B
pss_paper.p_8_7_termination	pss_scratch.y5_Fdom
