fact	theory	source_file	source_line	has_skip_proof	depends_on_article_sorry	consumer_chapters	dependency_chapters	consumer_article_count	bucket	availability_stage
pss_mechanized.bumpAt_diag_funpow	pss_mechanized	isabelle/pss_mechanized.thy	28909	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cut_bump_bumpAt	pss_mechanized	isabelle/pss_mechanized.thy	28965	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cut_bump_coreReduce	pss_mechanized	isabelle/pss_mechanized.thy	28974	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.fin_shift_bumpv	pss_mechanized	isabelle/pss_mechanized.thy	29007	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.fin_TrMax_shiftRow0	pss_mechanized	isabelle/pss_mechanized.thy	29023	false	false	6,7,8	5	49	PSS/cross-chapter	PSS/after-5
pss_mechanized.fin_cut_block_tail	pss_mechanized	isabelle/pss_mechanized.thy	29042	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.fin_TrMax_argX_ge	pss_mechanized	isabelle/pss_mechanized.thy	29145	true	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.fin_cut_bump_Red	pss_mechanized	isabelle/pss_mechanized.thy	29214	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.fin_cutOK_coreReduce	pss_mechanized	isabelle/pss_mechanized.thy	29710	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.fin_coreReduce_IncrFirst_bumpAt	pss_mechanized	isabelle/pss_mechanized.thy	29728	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idem2_zeroT	pss_mechanized	isabelle/pss_mechanized.thy	29801	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.idem2_core_trunk	pss_mechanized	isabelle/pss_mechanized.thy	29818	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.idem2_shift_reduce	pss_mechanized	isabelle/pss_mechanized.thy	29840	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.cong_struct.nextrel0_eq	pss_mechanized	isabelle/pss_mechanized.thy	29887	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.le0_eq	pss_mechanized	isabelle/pss_mechanized.thy	29889	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.nextrel1_eq	pss_mechanized	isabelle/pss_mechanized.thy	29892	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.le1_eq	pss_mechanized	isabelle/pss_mechanized.thy	29935	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.nextR_eq	pss_mechanized	isabelle/pss_mechanized.thy	29938	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.leR_eq	pss_mechanized	isabelle/pss_mechanized.thy	29941	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.TrMax_eq	pss_mechanized	isabelle/pss_mechanized.thy	29944	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.zeroT_eq	pss_mechanized	isabelle/pss_mechanized.thy	29947	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.monoT_eq	pss_mechanized	isabelle/pss_mechanized.thy	29951	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.multiT_eq	pss_mechanized	isabelle/pss_mechanized.thy	29954	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct.Pcut_eq	pss_mechanized	isabelle/pss_mechanized.thy	29957	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_cong_struct	pss_mechanized	isabelle/pss_mechanized.thy	29977	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cong_struct_congR	pss_mechanized	isabelle/pss_mechanized.thy	29980	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.congR_refl	pss_mechanized	isabelle/pss_mechanized.thy	29992	false	false	6		0	chapter-6/local	PSS/pre-5
pss_mechanized.congR_trans	pss_mechanized	isabelle/pss_mechanized.thy	29994	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_Lng	pss_mechanized	isabelle/pss_mechanized.thy	29998	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_nextR	pss_mechanized	isabelle/pss_mechanized.thy	29999	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_leR	pss_mechanized	isabelle/pss_mechanized.thy	30001	false	false	6,8		8	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_TrMax	pss_mechanized	isabelle/pss_mechanized.thy	30003	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_zeroT	pss_mechanized	isabelle/pss_mechanized.thy	30005	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_monoT	pss_mechanized	isabelle/pss_mechanized.thy	30007	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.congR_multiT	pss_mechanized	isabelle/pss_mechanized.thy	30009	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_Pcut	pss_mechanized	isabelle/pss_mechanized.thy	30011	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_seg	pss_mechanized	isabelle/pss_mechanized.thy	30018	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_take	pss_mechanized	isabelle/pss_mechanized.thy	30065	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_drop	pss_mechanized	isabelle/pss_mechanized.thy	30081	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_P_maplen	pss_mechanized	isabelle/pss_mechanized.thy	30101	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_P_length	pss_mechanized	isabelle/pss_mechanized.thy	30138	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_P_IdxSum	pss_mechanized	isabelle/pss_mechanized.thy	30141	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_P_block	pss_mechanized	isabelle/pss_mechanized.thy	30154	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	30196	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.congR_funpow_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	30216	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.congR_shiftRow0	pss_mechanized	isabelle/pss_mechanized.thy	30223	false	false	6,7,8	5	48	PSS/cross-chapter	PSS/after-5
pss_mechanized.congR_brseg	pss_mechanized	isabelle/pss_mechanized.thy	30257	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_Br_length	pss_mechanized	isabelle/pss_mechanized.thy	30265	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_Br_block	pss_mechanized	isabelle/pss_mechanized.thy	30288	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_Br_maplen	pss_mechanized	isabelle/pss_mechanized.thy	30366	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_IdxSum_Br	pss_mechanized	isabelle/pss_mechanized.thy	30380	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_FirstNodes	pss_mechanized	isabelle/pss_mechanized.thy	30391	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_Joints	pss_mechanized	isabelle/pss_mechanized.thy	30399	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_npJ	pss_mechanized	isabelle/pss_mechanized.thy	30405	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.cdn_nextrel0_suc_cong	pss_mechanized	isabelle/pss_mechanized.thy	30435	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_minhead_runmin_char	pss_mechanized	isabelle/pss_mechanized.thy	30466	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_nextrel0_minhead_cong	pss_mechanized	isabelle/pss_mechanized.thy	30515	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_NJ	pss_mechanized	isabelle/pss_mechanized.thy	30575	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.cdn_entry0_diagfun	pss_mechanized	isabelle/pss_mechanized.thy	30698	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_Lng_diagfun	pss_mechanized	isabelle/pss_mechanized.thy	30721	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_runmin_char	pss_mechanized	isabelle/pss_mechanized.thy	30732	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_nextrel0_diagfun_cong	pss_mechanized	isabelle/pss_mechanized.thy	30779	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.congR_diag_funpow	pss_mechanized	isabelle/pss_mechanized.thy	31028	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_shiftRow0_id	pss_mechanized	isabelle/pss_mechanized.thy	31078	false	false	6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.cdn_Red_shiftRow0_m10z	pss_mechanized	isabelle/pss_mechanized.thy	31098	true	false	6,7,8	5,6	50	PSS/cross-chapter	PSS/after-6
pss_mechanized.congR_self_shiftRow0	pss_mechanized	isabelle/pss_mechanized.thy	31127	false	false	6,7,8	5	48	PSS/cross-chapter	PSS/after-5
pss_mechanized.cdn_red_cong	pss_mechanized	isabelle/pss_mechanized.thy	31150	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.b2_entry0_diag_app	pss_mechanized	isabelle/pss_mechanized.thy	31393	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.b2_Lng_diag_app	pss_mechanized	isabelle/pss_mechanized.thy	31409	false	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.b2_nextrel0_tailbump	pss_mechanized	isabelle/pss_mechanized.thy	31424	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.b2_congR_tailbump	pss_mechanized	isabelle/pss_mechanized.thy	31645	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.b2_RedM_eq_segN	pss_mechanized	isabelle/pss_mechanized.thy	31685	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.b2_N_eq_diag_RedM	pss_mechanized	isabelle/pss_mechanized.thy	31766	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.b2_idem_m10pos	pss_mechanized	isabelle/pss_mechanized.thy	31821	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.s_FirstNode0_eq_TrMax_Suc	pss_mechanized	isabelle/pss_mechanized.thy	31898	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.s_npJ0_le_TrMax	pss_mechanized	isabelle/pss_mechanized.thy	31907	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.fl_s_TrMax_Red	pss_mechanized	isabelle/pss_mechanized.thy	31977	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.d_Red_core_nontrunk_unfold	pss_mechanized	isabelle/pss_mechanized.thy	32118	true	false	6,7,8	5,6	51	PSS/cross-chapter	PSS/after-6
pss_mechanized.fin_Red_leftend_row0_eq_m10	pss_mechanized	isabelle/pss_mechanized.thy	32179	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.fin_Red_NJ_leftend	pss_mechanized	isabelle/pss_mechanized.thy	32309	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.fin_block_head	pss_mechanized	isabelle/pss_mechanized.thy	32341	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.rmt_core_nontrunk_tail_pos	pss_mechanized	isabelle/pss_mechanized.thy	32372	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.rmt_core_nontrunk_strict_suffix_min	pss_mechanized	isabelle/pss_mechanized.thy	32502	true	false	6,7,8	5,6	49	PSS/cross-chapter	PSS/after-6
pss_mechanized.if2_P_concat_blocks	pss_mechanized	isabelle/pss_mechanized.thy	32787	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.if2_multiT_funpow_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	32920	false	false	6,7,8	6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.if2_block_props	pss_mechanized	isabelle/pss_mechanized.thy	32929	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.if2_block_row0_min	pss_mechanized	isabelle/pss_mechanized.thy	32972	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.if2_Br_Red	pss_mechanized	isabelle/pss_mechanized.thy	33025	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_trunk_row0	pss_mechanized	isabelle/pss_mechanized.thy	33132	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_FN_hasParent	pss_mechanized	isabelle/pss_mechanized.thy	33161	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_FN_lt	pss_mechanized	isabelle/pss_mechanized.thy	33186	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_concat_locate_raw	pss_mechanized	isabelle/pss_mechanized.thy	33198	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a1_concat_locate	pss_mechanized	isabelle/pss_mechanized.thy	33225	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a1_sumlen_take_mono	pss_mechanized	isabelle/pss_mechanized.thy	33240	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a1_if_Joints_Red	pss_mechanized	isabelle/pss_mechanized.thy	33254	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_BrRed_row1_head	pss_mechanized	isabelle/pss_mechanized.thy	33432	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_if_npJ_Red_zero	pss_mechanized	isabelle/pss_mechanized.thy	33467	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_trunk_row1	pss_mechanized	isabelle/pss_mechanized.thy	33483	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_trunk_nextrel0_step	pss_mechanized	isabelle/pss_mechanized.thy	33512	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_trunk_le0	pss_mechanized	isabelle/pss_mechanized.thy	33531	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_le0_ancestor_le_parent	pss_mechanized	isabelle/pss_mechanized.thy	33570	false	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a1_if_npJ_Red_pos	pss_mechanized	isabelle/pss_mechanized.thy	33595	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_if_npJ_Red	pss_mechanized	isabelle/pss_mechanized.thy	33729	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_funpow_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	33745	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_NJ_Red_eq	pss_mechanized	isabelle/pss_mechanized.thy	33771	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_Red_NJ_Red_residual	pss_mechanized	isabelle/pss_mechanized.thy	33832	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_idem_core_nontrunk	pss_mechanized	isabelle/pss_mechanized.thy	33857	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a1_idem_m10pos	pss_mechanized	isabelle/pss_mechanized.thy	33945	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.idem_nonmulti	pss_mechanized	isabelle/pss_mechanized.thy	34021	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.a3_butlast_concat	pss_mechanized	isabelle/pss_mechanized.thy	34162	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a3_map_butlast	pss_mechanized	isabelle/pss_mechanized.thy	34179	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a3_butlast_Red_len1	pss_mechanized	isabelle/pss_mechanized.thy	34186	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.a3_shiftRow0_Pred	pss_mechanized	isabelle/pss_mechanized.thy	34198	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a3_Red_shiftRow0_Pred_m10z	pss_mechanized	isabelle/pss_mechanized.thy	34249	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.a3_TrMax_Pred_trunk	pss_mechanized	isabelle/pss_mechanized.thy	34295	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.a3_Red_Pred_cond	pss_mechanized	isabelle/pss_mechanized.thy	34351	true	false		5,6	0	PSS/compat-unreached	PSS/after-6
pss_mechanized.rpred_Br_Pred_prefix	pss_mechanized	isabelle/pss_mechanized.thy	34737	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_IdxSum_prefix_append	pss_mechanized	isabelle/pss_mechanized.thy	34753	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rpred_IdxSum_butlast	pss_mechanized	isabelle/pss_mechanized.thy	34770	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rpred_FirstNodes_Pred	pss_mechanized	isabelle/pss_mechanized.thy	34790	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_JBr_Pred_imp	pss_mechanized	isabelle/pss_mechanized.thy	34863	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_hasParent_FirstNodes	pss_mechanized	isabelle/pss_mechanized.thy	34900	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_Joints_Pred	pss_mechanized	isabelle/pss_mechanized.thy	34930	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_branch_e1_Pred	pss_mechanized	isabelle/pss_mechanized.thy	35025	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_npJ_Pred	pss_mechanized	isabelle/pss_mechanized.thy	35084	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_block_eq_interior	pss_mechanized	isabelle/pss_mechanized.thy	35190	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_NJ_interior	pss_mechanized	isabelle/pss_mechanized.thy	35220	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_lastblock_Pred	pss_mechanized	isabelle/pss_mechanized.thy	35244	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_NJ_lastblock	pss_mechanized	isabelle/pss_mechanized.thy	35281	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_BL_nonempty	pss_mechanized	isabelle/pss_mechanized.thy	35346	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_BL_lastlen1	pss_mechanized	isabelle/pss_mechanized.thy	35369	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rpred_core_nontrunk_step	pss_mechanized	isabelle/pss_mechanized.thy	35392	true	false	6,7,8	5,6	48	PSS/cross-chapter	PSS/after-6
pss_mechanized.rnsub_size_arg_lt	pss_mechanized	isabelle/pss_mechanized.thy	36143	true	false	7,8		18	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_size_arg_lt'	pss_mechanized	isabelle/pss_mechanized.thy	36155	true	false	7,8		18	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_RightNodes_cons	pss_mechanized	isabelle/pss_mechanized.thy	36169	true	false	7		0	chapter-7/local	PSS/pre-5
pss_mechanized.rnsub_RightNodes_zero	pss_mechanized	isabelle/pss_mechanized.thy	36174	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rnsub_RightNodes_Dpt	pss_mechanized	isabelle/pss_mechanized.thy	36177	true	false	8		5	chapter-8/local	PSS/pre-5
pss_mechanized.rnsub_RightNodes_last	pss_mechanized	isabelle/pss_mechanized.thy	36182	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_flat_single	pss_mechanized	isabelle/pss_mechanized.thy	36187	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rnsub_flat_Dpt0	pss_mechanized	isabelle/pss_mechanized.thy	36191	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rnsub_flat_hd	pss_mechanized	isabelle/pss_mechanized.thy	36195	true	false	7,8		35	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_flat_nonempty	pss_mechanized	isabelle/pss_mechanized.thy	36199	true	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.rnsub_Lng_PB	pss_mechanized	isabelle/pss_mechanized.thy	36203	false	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.rnsub_align_lastZ	pss_mechanized	isabelle/pss_mechanized.thy	36217	false	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_flat_multi	pss_mechanized	isabelle/pss_mechanized.thy	36256	true	false	7,8		16	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_flat_pre_post	pss_mechanized	isabelle/pss_mechanized.thy	36262	true	false	7,8		16	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_Zsym_in_flat	pss_mechanized	isabelle/pss_mechanized.thy	36321	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_allRP_no_Zsym	pss_mechanized	isabelle/pss_mechanized.thy	36327	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rnsub_TB_last	pss_mechanized	isabelle/pss_mechanized.thy	36332	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_TB_replace_last	pss_mechanized	isabelle/pss_mechanized.thy	36343	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_spineSub_len	pss_mechanized	isabelle/pss_mechanized.thy	36376	true	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.rnsub_RightNodes_spineSub	pss_mechanized	isabelle/pss_mechanized.thy	36381	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_flat_main	pss_mechanized	isabelle/pss_mechanized.thy	36426	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.rnsub_Lng_spineSub	pss_mechanized	isabelle/pss_mechanized.thy	36546	true	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.rnsub_RightNodes_t0_lastv	pss_mechanized	isabelle/pss_mechanized.thy	36560	true	false	7,8		14	PSS/cross-chapter	PSS/pre-5
pss_mechanized.key_reduced_iff_cond_multi	pss_mechanized	isabelle/pss_mechanized.thy	36733	true	false		5,6	0	PSS/compat-unreached	PSS/after-6
pss_mechanized.elead_Lng_diag_append	pss_mechanized	isabelle/pss_mechanized.thy	36779	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.elead_entry_diag_append_lo	pss_mechanized	isabelle/pss_mechanized.thy	36783	false	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.elead_entry_diag_append_hi	pss_mechanized	isabelle/pss_mechanized.thy	36793	true	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.elead_monoT_N	pss_mechanized	isabelle/pss_mechanized.thy	36809	true	false	6,7,8	5	47	PSS/cross-chapter	PSS/after-5
pss_mechanized.scbuniq_isPTB_has_nonRP	pss_mechanized	isabelle/pss_mechanized.thy	36905	true	false	7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.scbuniq_trailRP_append_RP	pss_mechanized	isabelle/pss_mechanized.thy	36916	false	false	7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.scbuniq_trailRP_prefix_indep	pss_mechanized	isabelle/pss_mechanized.thy	36929	false	false	7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.scbuniq_all_RP_eq	pss_mechanized	isabelle/pss_mechanized.thy	36942	false	false	7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.scbtriv_depth_append	pss_mechanized	isabelle/pss_mechanized.thy	37013	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_depth_Nil	pss_mechanized	isabelle/pss_mechanized.thy	37017	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_depth_Cons	pss_mechanized	isabelle/pss_mechanized.thy	37020	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_dlt_simps	pss_mechanized	isabelle/pss_mechanized.thy	37024	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_depth_concat_CM	pss_mechanized	isabelle/pss_mechanized.thy	37029	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_sum_list_zero	pss_mechanized	isabelle/pss_mechanized.thy	37034	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_flat_nonempty	pss_mechanized	isabelle/pss_mechanized.thy	37040	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_depth_flat	pss_mechanized	isabelle/pss_mechanized.thy	37046	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.scbtriv_eq_imp_trivial_decomp	pss_mechanized	isabelle/pss_mechanized.thy	37072	false	false	7,8		6	PSS/cross-chapter	PSS/pre-5
pss_mechanized.roper_oper_Lng1	pss_mechanized	isabelle/pss_mechanized.thy	37092	false	false	6,8		2	PSS/cross-chapter	PSS/pre-5
pss_mechanized.roper_base_Lng1	pss_mechanized	isabelle/pss_mechanized.thy	37097	true	false		5,6	0	PSS/compat-unreached	PSS/after-6
