fact	theory	source_file	source_line	has_skip_proof	depends_on_article_sorry	consumer_chapters	dependency_chapters	consumer_article_count	bucket	availability_stage
pss_mechanized.adm_below_set_finite	pss_mechanized	isabelle/pss_mechanized.thy	1569	false	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_below_set_nonempty	pss_mechanized	isabelle/pss_mechanized.thy	1572	true	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_Adm_adm	pss_mechanized	isabelle/pss_mechanized.thy	1587	true	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_Adm_le	pss_mechanized	isabelle/pss_mechanized.thy	1601	true	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_Adm_max	pss_mechanized	isabelle/pss_mechanized.thy	1615	false	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_P_multi	pss_mechanized	isabelle/pss_mechanized.thy	1735	true	false	6,7,8		66	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_P_nonmulti	pss_mechanized	isabelle/pss_mechanized.thy	1740	true	false	6,7,8		68	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_concat_P	pss_mechanized	isabelle/pss_mechanized.thy	1745	true	false	6,7,8		65	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_last_P_multi	pss_mechanized	isabelle/pss_mechanized.thy	1768	true	false	6,7,8		37	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_entry_drop	pss_mechanized	isabelle/pss_mechanized.thy	1779	false	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_nextrel0_drop	pss_mechanized	isabelle/pss_mechanized.thy	1786	false	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_le0_drop_fwd	pss_mechanized	isabelle/pss_mechanized.thy	1841	false	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_le0_drop_bwd	pss_mechanized	isabelle/pss_mechanized.thy	1856	false	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_le0_drop	pss_mechanized	isabelle/pss_mechanized.thy	1878	true	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_nextrel1_drop	pss_mechanized	isabelle/pss_mechanized.thy	1900	true	false	6,7,8		53	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_le1_drop_fwd	pss_mechanized	isabelle/pss_mechanized.thy	1964	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.poper_le1_drop_bwd	pss_mechanized	isabelle/pss_mechanized.thy	1979	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.poper_le1_drop	pss_mechanized	isabelle/pss_mechanized.thy	2001	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.poper_nextR_drop	pss_mechanized	isabelle/pss_mechanized.thy	2023	true	false	6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_leR_drop	pss_mechanized	isabelle/pss_mechanized.thy	2029	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.poper_nextR_imp_le0	pss_mechanized	isabelle/pss_mechanized.thy	2037	false	false	6,7,8		56	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_parent_ge_c	pss_mechanized	isabelle/pss_mechanized.thy	2058	false	false	6,8	6	13	PSS/cross-chapter	PSS/after-6
pss_mechanized.poper_parent_set_drop	pss_mechanized	isabelle/pss_mechanized.thy	2091	true	false	6,8	6	12	PSS/cross-chapter	PSS/after-6
pss_mechanized.poper_hasParent_drop	pss_mechanized	isabelle/pss_mechanized.thy	2130	true	false	6,8	6	12	PSS/cross-chapter	PSS/after-6
pss_mechanized.poper_parent_drop	pss_mechanized	isabelle/pss_mechanized.thy	2171	true	false	6,8	6	12	PSS/cross-chapter	PSS/after-6
pss_mechanized.poper_oper_expand	pss_mechanized	isabelle/pss_mechanized.thy	2203	false	false	6,8		30	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_oper_nth0	pss_mechanized	isabelle/pss_mechanized.thy	2227	true	false	6,8		24	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_take_append_take_drop	pss_mechanized	isabelle/pss_mechanized.thy	2297	false	false	6,7,8		25	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_Pred_split	pss_mechanized	isabelle/pss_mechanized.thy	2302	false	false	6,7,8		25	PSS/cross-chapter	PSS/pre-5
pss_mechanized.poper_oper_drop	pss_mechanized	isabelle/pss_mechanized.thy	2324	true	false	6,8	6	12	PSS/cross-chapter	PSS/after-6
pss_mechanized.idxsum_concat_P	pss_mechanized	isabelle/pss_mechanized.thy	2658	true	false	6,7,8		73	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_nth	pss_mechanized	isabelle/pss_mechanized.thy	2682	true	false	6,7,8		71	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_sum_take_mono	pss_mechanized	isabelle/pss_mechanized.thy	2695	true	false	6,7,8		67	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_diff	pss_mechanized	isabelle/pss_mechanized.thy	2709	true	false	6,7,8		67	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_concat_block	pss_mechanized	isabelle/pss_mechanized.thy	2727	false	false	6,7,8		67	PSS/cross-chapter	PSS/pre-5
pss_mechanized.map_nth_range_eq_take_drop	pss_mechanized	isabelle/pss_mechanized.thy	2748	false	false	6,7,8		67	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_P_component_nonempty	pss_mechanized	isabelle/pss_mechanized.thy	2755	true	false	6,7,8	5,6	69	PSS/cross-chapter	PSS/after-6
pss_mechanized.idxsum_parent0_unique	pss_mechanized	isabelle/pss_mechanized.thy	2823	false	false	6,7,8		72	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_ex1_parent0_iff	pss_mechanized	isabelle/pss_mechanized.thy	2854	false	false	6,7,8		72	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_no_parent0_iff	pss_mechanized	isabelle/pss_mechanized.thy	2860	false	false	6,7,8	5	48	PSS/cross-chapter	PSS/after-5
pss_mechanized.idxsum_leftend_lmin	pss_mechanized	isabelle/pss_mechanized.thy	2888	true	false	6,7,8	5,6	69	PSS/cross-chapter	PSS/after-6
pss_mechanized.idxsum_lmin_leftend	pss_mechanized	isabelle/pss_mechanized.thy	2983	true	false	6,7,8	5,6	16	PSS/cross-chapter	PSS/after-6
pss_mechanized.idxsum_mono	pss_mechanized	isabelle/pss_mechanized.thy	3133	true	false	6,7,8		52	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nonmulti_Pred	pss_mechanized	isabelle/pss_mechanized.thy	3217	true	false	6,7,8	5,6	53	PSS/cross-chapter	PSS/after-6
pss_mechanized.entry_concat_replicate_lt	pss_mechanized	isabelle/pss_mechanized.thy	3243	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized	isabelle/pss_mechanized.thy	3254	true	false	6,8	5,6	12	PSS/cross-chapter	PSS/after-6
pss_mechanized.TrMax_bound	pss_mechanized	isabelle/pss_mechanized.thy	3706	true	false	6,7,8		65	PSS/cross-chapter	PSS/pre-5
pss_mechanized.FirstNodes_nth	pss_mechanized	isabelle/pss_mechanized.thy	3786	true	false	6,7,8		64	PSS/cross-chapter	PSS/pre-5
pss_mechanized.Joints_nth	pss_mechanized	isabelle/pss_mechanized.thy	3794	false	false	6,7,8		64	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextR0_largest_below	pss_mechanized	isabelle/pss_mechanized.thy	3802	false	false	6,7,8		59	PSS/cross-chapter	PSS/pre-5
pss_mechanized.entry_FirstNodes_eq_component	pss_mechanized	isabelle/pss_mechanized.thy	3817	true	false	6,7,8	5,6	63	PSS/cross-chapter	PSS/after-6
pss_mechanized.TrMax_trunk_step	pss_mechanized	isabelle/pss_mechanized.thy	3987	false	false	6,7,8		51	PSS/cross-chapter	PSS/pre-5
pss_mechanized.trunk_le1	pss_mechanized	isabelle/pss_mechanized.thy	4016	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.trunk_le0	pss_mechanized	isabelle/pss_mechanized.thy	4047	true	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.idxsum_locate	pss_mechanized	isabelle/pss_mechanized.thy	4055	true	false	6,7,8		59	PSS/cross-chapter	PSS/pre-5
pss_mechanized.branch_component_le0	pss_mechanized	isabelle/pss_mechanized.thy	4090	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.le0_monoT_seg_into_list	pss_mechanized	isabelle/pss_mechanized.thy	4206	true	false	6,7,8	5	46	PSS/cross-chapter	PSS/after-5
pss_mechanized.slice_le0_to_index	pss_mechanized	isabelle/pss_mechanized.thy	4240	true	false	6,7,8	5,6	47	PSS/cross-chapter	PSS/after-6
pss_mechanized.nextR1_unique	pss_mechanized	isabelle/pss_mechanized.thy	4370	false	false	6,7,8		57	PSS/cross-chapter	PSS/pre-5
pss_mechanized.condAB_row1_noparent_zero	pss_mechanized	isabelle/pss_mechanized.thy	4407	true	false	6,7,8	5,6	42	PSS/cross-chapter	PSS/after-6
