rank	fact	serial	theory	source_file	source_line
154	pss_mechanized.m_5_1_ancestor_tree_2	477686	pss_mechanized	isabelle/pss_mechanized.thy	438
155	pss_mechanized.take_append_map_nth	477722	pss_mechanized	isabelle/pss_mechanized.thy	480
156	pss_mechanized.entry_pair	477764	pss_mechanized	isabelle/pss_mechanized.thy	493
157	pss_mechanized.oper1_eq	478186	pss_mechanized	isabelle/pss_mechanized.thy	501
158	pss_mechanized.m_5_3_pred_is_oper1	478242	pss_mechanized	isabelle/pss_mechanized.thy	513
159	pss_mechanized.m_5_4_F_oper_dom	478312	pss_mechanized	isabelle/pss_mechanized.thy	560
160	pss_mechanized.m_5_4_F_oper_val	478408	pss_mechanized	isabelle/pss_mechanized.thy	580
161	pss_mechanized.Lng_IncrFirst	478456	pss_mechanized	isabelle/pss_mechanized.thy	588
162	pss_mechanized.entry_IncrFirst	478520	pss_mechanized	isabelle/pss_mechanized.thy	591
163	pss_mechanized.nextrel0_IncrFirst_eq	478572	pss_mechanized	isabelle/pss_mechanized.thy	596
164	pss_mechanized.le0_IncrFirst_eq	478622	pss_mechanized	isabelle/pss_mechanized.thy	603
165	pss_mechanized.nextrel1_IncrFirst_eq	478644	pss_mechanized	isabelle/pss_mechanized.thy	606
166	pss_mechanized.le1_IncrFirst_eq	478658	pss_mechanized	isabelle/pss_mechanized.thy	614
167	pss_mechanized.m_6_1_le_IncrFirst_inv	478678	pss_mechanized	isabelle/pss_mechanized.thy	619
168	pss_mechanized.T_PS_Lng_gt1	478702	pss_mechanized	isabelle/pss_mechanized.thy	627
169	pss_mechanized.m_6_2_not_multi_iff_le	478754	pss_mechanized	isabelle/pss_mechanized.thy	634
170	pss_mechanized.m_6_2_multi_crit_23	478868	pss_mechanized	isabelle/pss_mechanized.thy	663
171	pss_mechanized.m_6_2_multi_crit_12	478940	pss_mechanized	isabelle/pss_mechanized.thy	696
172	pss_mechanized.Lng_seg	478982	pss_mechanized	isabelle/pss_mechanized.thy	703
173	pss_mechanized.entry_seg	479150	pss_mechanized	isabelle/pss_mechanized.thy	706
174	pss_mechanized.m_6_2_mono_ancestor_slice	479374	pss_mechanized	isabelle/pss_mechanized.thy	720
175	pss_mechanized.m_6_2_mono_prefix	479504	pss_mechanized	isabelle/pss_mechanized.thy	749
176	pss_mechanized.multiT_imp_Lng_gt1	479528	pss_mechanized	isabelle/pss_mechanized.thy	766
177	pss_mechanized.P_nonempty	479566	pss_mechanized	isabelle/pss_mechanized.thy	779
178	pss_mechanized.m_6_2_P_components_2	479644	pss_mechanized	isabelle/pss_mechanized.thy	784
179	pss_mechanized.IncrFirst_zeroT_eq	479724	pss_mechanized	isabelle/pss_mechanized.thy	809
180	pss_mechanized.IncrFirst_monoT_eq	479812	pss_mechanized	isabelle/pss_mechanized.thy	818
181	pss_mechanized.IncrFirst_multiT_eq	479882	pss_mechanized	isabelle/pss_mechanized.thy	821
182	pss_mechanized.IncrFirst_Pcut_eq	479968	pss_mechanized	isabelle/pss_mechanized.thy	824
183	pss_mechanized.IncrFirst_take	480022	pss_mechanized	isabelle/pss_mechanized.thy	827
184	pss_mechanized.IncrFirst_drop	480044	pss_mechanized	isabelle/pss_mechanized.thy	830
185	pss_mechanized.m_6_2_P_IncrFirst	480108	pss_mechanized	isabelle/pss_mechanized.thy	833
186	pss_mechanized.P_funpow_IncrFirst	480144	pss_mechanized	isabelle/pss_mechanized.thy	865
