pss_wip.wfpx_RPrel_bnd_acyclic	isabelle/layerB/pss_wip.thy	67905
pss_wip.wfpx_RPrel_irrefl	isabelle/layerB/pss_wip.thy	67889
pss_wip.wfpx_RPrel_trans	isabelle/layerB/pss_wip.thy	67886
pss_wip.wfpx_RTrel_acyclic	isabelle/layerB/pss_wip.thy	67966
pss_wip.wfpx_RTrel_bnd_acyclic	isabelle/layerB/pss_wip.thy	67984
pss_wip.wfpx_bounded_Tchain_impossible	isabelle/layerB/pss_wip.thy	67998
pss_wip.wfpx_bounded_chain_impossible	isabelle/layerB/pss_wip.thy	67913
pss_wip.wfpx_finite_BP_norm	isabelle/layerB/pss_wip.thy	67878
pss_wip.wfpx_finite_BT_norm	isabelle/layerB/pss_wip.thy	67875
pss_wip.wfpx_finite_RPrel_bnd	isabelle/layerB/pss_wip.thy	67895
pss_wip.wfpx_finite_RTrel_bnd	isabelle/layerB/pss_wip.thy	67974
pss_wip.wfpx_finite_norm_le	isabelle/layerB/pss_wip.thy	67774
pss_wip.wfpx_infinite_Tchain_unbounded_norm	isabelle/layerB/pss_wip.thy	68009
pss_wip.wfpx_infinite_chain_unbounded_norm	isabelle/layerB/pss_wip.thy	67924
pss_wip.wfpx_length_le_sum	isabelle/layerB/pss_wip.thy	67739
pss_wip.wfpx_nrmP_le_sum	isabelle/layerB/pss_wip.thy	67751
pss_wip.wfpx_nrmP_pos	isabelle/layerB/pss_wip.thy	67736
pss_wip.wfpx_wf_RPrel_bnd	isabelle/layerB/pss_wip.thy	67908
pss_wip.wfpx_wf_RPrel_iff_no_unbounded_chain	isabelle/layerB/pss_wip.thy	67937
pss_wip.wfpx_wf_RTrel_bnd	isabelle/layerB/pss_wip.thy	67987
pss_wip.wfpx_wf_RTrel_iff_no_unbounded_chain	isabelle/layerB/pss_wip.thy	68022
pss_wip.wfpx_wf_goal_bnd	isabelle/layerB/pss_wip.thy	67993
pss_wip.wfs_OT_B_wf_of_level_jump	isabelle/layerB/pss_wip.thy	112896
pss_wip.wfs_Restr_acc_wf	isabelle/layerB/pss_wip.thy	112923
pss_wip.wfs_acc_downclosed	isabelle/layerB/pss_wip.thy	112910
pss_wip.wfs_acc_levels_of_jump	isabelle/layerB/pss_wip.thy	112843
pss_wip.wfs_accord_Field	isabelle/layerB/pss_wip.thy	113001
pss_wip.wfs_accord_Well_order	isabelle/layerB/pss_wip.thy	113012
pss_wip.wfs_accord_strict_sub	isabelle/layerB/pss_wip.thy	112951
pss_wip.wfs_accord_well_order	isabelle/layerB/pss_wip.thy	112967
pss_wip.wfs_accord_wf_strict	isabelle/layerB/pss_wip.thy	112964
pss_wip.wfs_bdepthT_le	isabelle/layerB/pss_wip.thy	112603
pss_wip.wfs_descP_le	isabelle/layerB/pss_wip.thy	112430
pss_wip.wfs_dmono_P	isabelle/layerB/pss_wip.thy	112736
pss_wip.wfs_dmono_T	isabelle/layerB/pss_wip.thy	112731
pss_wip.wfs_dmono_aux	isabelle/layerB/pss_wip.thy	112611
pss_wip.wfs_enat_nlt0	isabelle/layerB/pss_wip.thy	112452
pss_wip.wfs_lessBP_total	isabelle/layerB/pss_wip.thy	112907
pss_wip.wfs_level0_acc	isabelle/layerB/pss_wip.thy	112790
pss_wip.wfs_lvP0_iff	isabelle/layerB/pss_wip.thy	112392
pss_wip.wfs_lvT0_iff	isabelle/layerB/pss_wip.thy	112389
pss_wip.wfs_lv_finT	isabelle/layerB/pss_wip.thy	112395
pss_wip.wfs_max_eq0	isabelle/layerB/pss_wip.thy	112373
pss_wip.wfs_max_fin	isabelle/layerB/pss_wip.thy	112376
pss_wip.wfs_maxe_eq0	isabelle/layerB/pss_wip.thy	112379
pss_wip.wfs_maxe_fin	isabelle/layerB/pss_wip.thy	112382
pss_wip.wfs_maxl_le	isabelle/layerB/pss_wip.thy	112600
pss_wip.wfs_rank_semantic	isabelle/layerB/pss_wip.thy	113112
pss_wip.wfs_rk_Well_order	isabelle/layerB/pss_wip.thy	113031
pss_wip.wfs_rk_ordLess	isabelle/layerB/pss_wip.thy	113061
pss_wip.wfs_strat0_P	isabelle/layerB/pss_wip.thy	112574
pss_wip.wfs_strat0_T	isabelle/layerB/pss_wip.thy	112567
pss_wip.wfs_strat0_aux	isabelle/layerB/pss_wip.thy	112461
pss_wip.wfs_szP_mem	isabelle/layerB/pss_wip.thy	112412
pss_wip.wfs_szP_mem_lt	isabelle/layerB/pss_wip.thy	112415
pss_wip.wfs_szT_arg_lt	isabelle/layerB/pss_wip.thy	112418
pss_wip.wfs_szT_tl_lt	isabelle/layerB/pss_wip.thy	112425
pss_wip.wfs_underS_accord	isabelle/layerB/pss_wip.thy	113034
pss_wip.wfs_wf_RPrel_of_level_jump	isabelle/layerB/pss_wip.thy	112868
pss_wip.wfs_wf_iff_all_acc	isabelle/layerB/pss_wip.thy	112901
